Run,Method,MSE
0,Adaptive,3.772260427474976
0,Bochner,4.054990291595459
0,OOS Bochner,3.2042219638824463
0,DFIV,3.731085681915283
0,Bochner (2LMP),3.865550708770752
0,OOS Bochner (2LMP),3.856031990051278
1,Adaptive,3.973668813705444
1,Bochner,3.341017961502075
1,OOS Bochner,2.8001716136932373
1,DFIV,3.684587240219116
1,Bochner (2LMP),3.6068368434906006
1,OOS Bochner (2LMP),3.736226749420166
2,Adaptive,3.693775415420532
2,Bochner,3.531561374664306
2,OOS Bochner,2.894232273101806
2,DFIV,3.639754934310913
2,Bochner (2LMP),3.621211862564087
2,OOS Bochner (2LMP),3.5896722316741934
3,Adaptive,3.766181230545044
3,Bochner,3.5198287963867188
3,OOS Bochner,2.73793625831604
3,DFIV,3.6653571128845215
3,Bochner (2LMP),3.5427230834960938
3,OOS Bochner (2LMP),3.6264843463897705
4,Adaptive,3.875681161880493
4,Bochner,4.1602559089660645
4,OOS Bochner,3.043452739715576
4,DFIV,3.784790754318237
4,Bochner (2LMP),3.5014700412750244
4,OOS Bochner (2LMP),3.503178739547729
5,Adaptive,3.777335643768311
5,Bochner,3.750544309616089
5,OOS Bochner,3.070106267929077
5,DFIV,3.833793640136719
5,Bochner (2LMP),3.838638038635254
5,OOS Bochner (2LMP),3.519176721572876
6,Adaptive,3.7492730617523193
6,Bochner,3.606698751449585
6,OOS Bochner,2.9979066848754883
6,DFIV,3.685343074798584
6,Bochner (2LMP),3.862897129058838
6,OOS Bochner (2LMP),3.60711389541626
7,Adaptive,3.741608858108521
7,Bochner,3.3549723625183105
7,OOS Bochner,2.945719718933105
7,DFIV,3.741542148590088
7,Bochner (2LMP),3.780628156661988
7,OOS Bochner (2LMP),3.680208396911621
8,Adaptive,3.969104528427124
8,Bochner,3.3233795166015625
8,OOS Bochner,2.9253597259521484
8,DFIV,3.674472141265869
8,Bochner (2LMP),3.672317934036255
8,OOS Bochner (2LMP),3.899808588027954
9,Adaptive,3.6565330028533936
9,Bochner,3.3464338779449463
9,OOS Bochner,3.205973625183105
9,DFIV,3.7279260635375977
9,Bochner (2LMP),3.944863986968994
9,OOS Bochner (2LMP),3.6725170135498047
10,Adaptive,3.793179988861084
10,Bochner,3.892437934875488
10,OOS Bochner,2.640122413635254
10,DFIV,3.702376890182495
11,Adaptive,3.7310211658477774
11,Bochner,3.374326229095459
11,OOS Bochner,2.9099509716033936
11,DFIV,3.737165260314941
12,Adaptive,3.817074060440064
12,Bochner,3.600489854812622
12,OOS Bochner,3.045253276824951
12,DFIV,4.00337553024292
13,Adaptive,3.805227041244507
13,Bochner,3.723812103271485
13,OOS Bochner,2.889490842819214
13,DFIV,3.811053419113159
14,Adaptive,3.7740578651428223
14,Bochner,3.8459317684173584
14,OOS Bochner,2.9217333793640137
14,DFIV,3.617634248733521
15,Adaptive,3.916605234146118
15,Bochner,3.7637672424316406
15,OOS Bochner,3.0231621265411377
15,DFIV,3.651062440872192
16,Adaptive,3.7406177520751953
16,Bochner,3.5744547843933105
16,OOS Bochner,2.9661238193511963
16,DFIV,3.824636840820313
17,Adaptive,3.8096401691436768
17,Bochner,3.1400039196014404
17,OOS Bochner,2.9467995166778564
17,DFIV,3.722232837677002
18,Adaptive,3.773617029190064
18,Bochner,3.534511089324951
18,OOS Bochner,3.102913856506348
18,DFIV,3.580500459671021
19,Adaptive,3.829409599304199
19,Bochner,3.4995017051696777
19,OOS Bochner,3.1689743995666504
19,DFIV,3.5601025581359863
