Run,Method,MSE
0,KIV-M,4.323780059814453
0,KIV-MN,4.250957012176514
0,MEKIV,4.331713676452637
0,KIV-Oracle,3.858298540115357
1,KIV-M,4.5853190422058105
1,KIV-MN,4.245876312255859
1,MEKIV,4.373266696929932
1,KIV-Oracle,3.769648790359497
2,KIV-M,4.53216552734375
2,KIV-MN,4.270960330963135
2,MEKIV,4.396705150604248
2,KIV-Oracle,3.900825738906861
3,KIV-M,4.455667495727539
3,KIV-MN,4.259066581726074
3,MEKIV,4.397308349609375
3,KIV-Oracle,3.891666889190674
4,KIV-M,4.428984642028809
4,KIV-MN,4.278632164001465
4,MEKIV,4.402049064636231
4,KIV-Oracle,3.838479518890381
5,KIV-M,4.379699230194092
5,KIV-MN,4.254351139068604
5,MEKIV,4.411479949951172
5,KIV-Oracle,3.8214030265808105
6,KIV-M,4.423738479614258
6,KIV-MN,4.263715744018555
6,MEKIV,4.4055047035217285
6,KIV-Oracle,3.682448387145996
7,KIV-M,4.4330735206604
7,KIV-MN,4.248291015625
7,MEKIV,4.399114608764648
7,KIV-Oracle,3.709030151367188
8,KIV-M,4.454909801483154
8,KIV-MN,4.28724479675293
8,MEKIV,4.397125720977783
8,KIV-Oracle,3.866809844970703
9,KIV-M,4.382441997528076
9,KIV-MN,4.233778953552246
9,MEKIV,4.312709331512451
9,KIV-Oracle,3.775006771087648
10,KIV-M,4.4538116455078125
10,KIV-MN,4.309581279754639
10,MEKIV,4.445649147033691
10,KIV-Oracle,3.742300748825073
11,KIV-M,4.447381496429443
11,KIV-MN,4.246177673339844
11,MEKIV,4.384206771850586
11,KIV-Oracle,3.816928148269653
12,KIV-M,4.335185050964356
12,KIV-MN,4.244019985198975
12,MEKIV,4.435242176055908
12,KIV-Oracle,3.7222588062286377
13,KIV-M,4.493122577667236
13,KIV-MN,4.364078044891357
13,MEKIV,4.439511299133301
13,KIV-Oracle,3.6491622924804688
14,KIV-M,4.439063549041748
14,KIV-MN,4.234864711761475
14,MEKIV,4.389689922332764
14,KIV-Oracle,3.781444787979126
15,KIV-M,4.402223587036133
15,KIV-MN,4.188999652862549
15,MEKIV,4.370443344116211
15,KIV-Oracle,3.860941171646118
16,KIV-M,4.483891487121582
16,KIV-MN,4.312648773193359
16,MEKIV,4.394524574279785
16,KIV-Oracle,3.843359470367432
17,KIV-M,4.347850322723389
17,KIV-MN,4.112959384918213
17,MEKIV,4.285826683044434
17,KIV-Oracle,3.8600924015045166
18,KIV-M,4.54402494430542
18,KIV-MN,4.289031505584717
18,MEKIV,4.445976257324219
18,KIV-Oracle,3.652024507522583
19,KIV-M,4.488807201385498
19,KIV-MN,4.261455535888672
19,MEKIV,4.357470989227295
19,KIV-Oracle,3.7608954906463623
