Run,Method,MSE
0,KIV-M,4.403233051300049
0,KIV-MN,4.364861011505127
0,MEKIV,4.352489948272705
0,KIV-Oracle,3.8411672115325928
1,KIV-M,4.5272603034973145
1,KIV-MN,4.347184658050537
1,MEKIV,4.387226581573486
1,KIV-Oracle,3.712608814239502
2,KIV-M,4.476546764373779
2,KIV-MN,4.311642646789551
2,MEKIV,4.443702697753906
2,KIV-Oracle,3.715893030166626
3,KIV-M,4.493708610534668
3,KIV-MN,4.430973052978516
3,MEKIV,4.45947790145874
3,KIV-Oracle,3.802848100662232
4,KIV-M,4.545488834381104
4,KIV-MN,4.4421467781066895
4,MEKIV,4.440675735473633
4,KIV-Oracle,3.844349145889282
5,KIV-M,4.4646759033203125
5,KIV-MN,4.437954902648926
5,MEKIV,4.485931873321533
5,KIV-Oracle,3.721736907958984
6,KIV-M,4.476766109466553
6,KIV-MN,4.411861896514893
6,MEKIV,4.469846725463867
6,KIV-Oracle,3.720853090286255
7,KIV-M,4.559800624847412
7,KIV-MN,4.352632522583008
7,MEKIV,4.485931396484375
7,KIV-Oracle,3.8570053577423096
8,KIV-M,4.474742412567139
8,KIV-MN,4.366779804229736
8,MEKIV,4.411139011383057
8,KIV-Oracle,3.89837384223938
9,KIV-M,4.438833236694336
9,KIV-MN,4.343625545501709
9,MEKIV,4.4627203941345215
9,KIV-Oracle,3.5757882595062256
10,KIV-M,4.468785285949707
10,KIV-MN,4.401710033416748
10,MEKIV,4.409426212310791
10,KIV-Oracle,3.822663545608521
11,KIV-M,4.519233703613281
11,KIV-MN,4.390773773193359
11,MEKIV,4.436450004577637
11,KIV-Oracle,3.878031730651856
12,KIV-M,4.495142936706543
12,KIV-MN,4.368347644805908
12,MEKIV,4.477810382843018
12,KIV-Oracle,3.791002750396729
13,KIV-M,4.561669826507568
13,KIV-MN,4.357731342315674
13,MEKIV,4.48859167098999
13,KIV-Oracle,3.776925802230835
14,KIV-M,4.541028499603272
14,KIV-MN,4.388220310211182
14,MEKIV,4.464325428009033
14,KIV-Oracle,3.765717744827272
15,KIV-M,4.533268451690674
15,KIV-MN,4.344125270843506
15,MEKIV,4.335440635681152
15,KIV-Oracle,3.948040723800659
16,KIV-M,4.487356662750244
16,KIV-MN,4.361313343048096
16,MEKIV,4.3979172706604
16,KIV-Oracle,3.811824798583984
17,KIV-M,4.444105625152588
17,KIV-MN,4.351864337921143
17,MEKIV,4.330156326293945
17,KIV-Oracle,3.749399900436402
18,KIV-M,4.571037292480469
18,KIV-MN,4.422889232635498
18,MEKIV,4.444639205932617
18,KIV-Oracle,3.808213472366333
19,KIV-M,4.48234224319458
19,KIV-MN,4.374812602996826
19,MEKIV,4.41204833984375
19,KIV-Oracle,3.8784663677215576
